month,total_orders,avg_delivery_time,avg_rating,cancellation_rate,total_revenue
1,1289,94.38867339022498,3.9778122552334567,14.3522110162917,152546.55061340332
2,1257,95.89498806682577,3.9882259311994677,13.762927605409706,148716.9090461731
3,1270,94.00157480314961,4.009055117922505,13.858267716535433,149667.76697540283
4,1210,93.53223140495868,4.019917351549322,13.223140495867769,143832.55886268616
5,1242,93.59903381642512,3.984138478787433,13.043478260869565,147853.7287120819
6,1230,93.36747967479675,3.9841463358421634,12.195121951219512,146104.1717338562
7,1266,93.77014218009478,3.995181671816026,13.58609794628752,148291.65935325623
8,1295,92.36988416988417,4.000694973772557,14.44015444015444,154473.3736114502
9,1255,92.71633466135458,3.9717928255696697,13.147410358565736,147857.40527153015
10,1237,94.40177849636217,4.006143897988667,12.449474535165724,145914.13630104065
11,1198,95.37479131886478,4.000918191542013,12.186978297161936,142735.92886543274
12,1251,96.33013589128697,3.9912869663451978,13.828936850519586,147660.9993133545
